token,option,display,ratio,unit,ingredient_id
almond_flour,,superfine blanched almond flour,1/2,cup,almond-flour
oat_flour,,superfine oat flour,1,cup,oat-flour
tapioca_starch,,tapioca starch,2,tbsp,tapioca-starch
cornstarch,,cornstarch,2,tbsp,cornstarch
sugar,,fine granulated white sugar,3/4,cup,white-sugar
baking_powder,,baking powder,2,tsp,baking-powder
salt,,fine salt,1/2,tsp,salt
coconut_milk,,full-fat coconut milk (room temperature, fully mixed),10,tbsp,coconut-milk
lemon_juice,,fresh lemon juice,2 1/2,tbsp,lemon
lemon_for_zest,,lemon (for zest),1,count,lemon
vanilla_extract,,vanilla extract,1,tsp,vanilla-extract
neutral_oil,,neutral oil (for greasing pan),,,neutral-oil
powdered_sugar,,powdered sugar,1,cup,powdered-sugar
lemon_juice_glaze,,fresh lemon juice,1,tbsp,lemon
glaze_thickener,yogurt,thick non-dairy yogurt (plain or vanilla),1,tbsp,nondairy-yogurt
glaze_thickener,milk,creamy milk,1/2,tbsp,milk
vanilla_glaze,,vanilla extract,1/4,tsp,vanilla-extract
