token,option,display,ratio,unit,ingredient_id,section
basic_roll_dough,,Basic Roll Dough recipe,1,recipe,basic-roll-dough,Dough
flour,wheat,sifted all-purpose flour,1,cup,wheat-flour,Streusel
flour,gf,gluten-free flour blend,1,cup,gf-flour-blend,Streusel
brown_sugar,,brown sugar,1/2,cup,brown-sugar,Streusel
granulated_sugar,,granulated sugar,1/2,cup,white-sugar,Streusel
cinnamon,,ground cinnamon,1,tsp,cinnamon,Streusel
streusel_fat,butter,butter,1/2,cup,butter,Streusel
streusel_fat,margarine,margarine,1/2,cup,margarine,Streusel
nuts,include,finely chopped nuts,1/4,cup,chopped-nuts,Streusel
nuts,omit,No nuts,0,cup,chopped-nuts,Streusel
vanilla,,vanilla extract,1 1/2,tsp,vanilla-extract,Finish
